PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0.00,0.00,0.00,5.00,M5,20272,Kenmore Air Harbor,06927,D,M5,Kenmore Air Harbor,1,6,10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93,14572,1457201,34572,RNT,"Renton, WA",WA,53,Washington,93,2026,1,1,1,F
0.00,0.00,0.00,5.00,M5,20272,Kenmore Air Harbor,06927,D,M5,Kenmore Air Harbor,1,6,11762,1176202,31646,FRD,"Friday Harbor, WA",WA,53,Washington,93,13055,1305502,33055,LPS,"Lopez Island, WA",WA,53,Washington,93,2026,1,1,1,F
0.00,0.00,0.00,5.00,M5,20272,Kenmore Air Harbor,06927,D,M5,Kenmore Air Harbor,1,6,11762,1176202,31646,FRD,"Friday Harbor, WA",WA,53,Washington,93,13055,1305502,33055,LPS,"Lopez Island, WA",WA,53,Washington,93,2026,1,2,1,F
0.00,0.00,0.00,5.00,M5,20272,Kenmore Air Harbor,06927,D,M5,Kenmore Air Harbor,1,6,14572,1457201,34572,RNT,"Renton, WA",WA,53,Washington,93,10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93,2026,1,1,1,F
0.00,0.00,0.00,6.00,7S,20330,Ryan Air f/k/a Arctic Transportation,06995,D,7S,Ryan Air f/k/a Arctic Transportation,1,5,14130,1413003,34130,PKA,"Napaskiak, AK",AK,02,Alaska,1,10551,1055102,30113,BET,"Bethel, AK",AK,02,Alaska,1,2026,1,1,1,F
0.00,0.00,0.00,6.00,7S,20330,Ryan Air f/k/a Arctic Transportation,06995,D,7S,Ryan Air f/k/a Arctic Transportation,1,5,14130,1413003,34130,PKA,"Napaskiak, AK",AK,02,Alaska,1,10551,1055102,30113,BET,"Bethel, AK",AK,02,Alaska,1,2026,1,1,1,G
0.00,0.00,0.00,6.00,7S,20330,Ryan Air f/k/a Arctic Transportation,06995,D,7S,Ryan Air f/k/a Arctic Transportation,1,5,14130,1413003,34130,PKA,"Napaskiak, AK",AK,02,Alaska,1,10551,1055102,30113,BET,"Bethel, AK",AK,02,Alaska,1,2026,1,2,1,F
0.00,0.00,0.00,6.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,10405,1040505,30405,ATT,"Atmautluak, AK",AK,02,Alaska,1,13770,1377002,33770,NUP,"Nunapitchuk, AK",AK,02,Alaska,1,2026,1,2,1,F
0.00,0.00,0.00,6.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,10551,1055102,30113,BET,"Bethel, AK",AK,02,Alaska,1,14130,1413003,34130,PKA,"Napaskiak, AK",AK,02,Alaska,1,2026,1,2,1,L
0.00,0.00,0.00,7.00,SNK,20226,Spernak Airways Inc.,06970,D,SNK,Spernak Airways Inc.,1,5,14013,1401304,34013,PAQ,"Palmer, AK",AK,02,Alaska,1,17077,1707701,34013,9AK,"Palmer, AK",AK,02,Alaska,1,2026,1,1,1,P
